"Zip/Postal Code","PLZ"
"Decoration Color","Dekoration Farbe"
"Skin Pink","Haut Rosa"
"Bud Green","Bud grün"
"Dark Brown","Dunkelbraun"
"Orange Red","Orange Rot"
"Bright Rust Red","Leuchtend Rot"
"Ice Blue","Eisblau"
"Purple","Purpurrot"
"Unit(s)","Einheit (en)"
"Tiers","Schichten"
"Tier","Schicht"
"Package Weight (g)","Paket-Gewicht (g)"
"Buy Now","Jetzt Kaufen"
"Check Cart","Zum Warenkorb"
"Place order now","Jetzt Kaufen"
"Shipping Time: 4-8 Calendar Days -","Lieferzeit: 4-8 Kalendertage"
"Shipping Time: 3-5 Calendar Days -","Lieferzeit: 3-5 Kalendertage"
